listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
88586,2026-08-05,Olmazor,1,31400,https://hata.uz/en/listings/object/predoplata-9-500-ue-za-1k-kvartiru-s-remontom-ostatok-na-32mes-gs-88586,35.68,16,16,1,2026-08-21T23:55:40+00:00
88595,2026-08-04,Olmazor,1,34000,https://hata.uz/en/listings/object/novostroyka-yangi-uy-qora-qamish-1-2-silver-tower-studio-381-m2-88595,38.1,9,20,1,2026-08-21T23:55:40+00:00
88797,2026-08-04,Sergeli,3,60000,https://hata.uz/en/listings/object/uy-sotiladi-uzimni-uyim-88797,62.0,9,8,1,2026-08-21T23:55:40+00:00
88821,2026-08-04,Olmazor,3,46000,https://hata.uz/en/listings/object/prodaetsya-3-komnata-88821,35.0,2,4,1,2026-08-21T23:55:40+00:00
88848,2026-08-04,Olmazor,2,62900,https://hata.uz/en/listings/object/korasaroy-novostroyka-12-dom-mulzhal-korasaroy-uzgazoyl-2-1-9-63m2-go-88848,63.0,1,9,1,2026-08-21T23:55:40+00:00
88939,2026-08-05,Yunusobod,1,43000,https://hata.uz/en/listings/object/prodam-kvartiru-v-novostroyke-88939,43.0,5,8,1,2026-08-21T23:55:40+00:00
88940,2026-08-05,Yunusobod,1,57000,https://hata.uz/en/listings/object/yunusabad-14-kvartal-1-2-2-4-ipoteka-mozhno-88940,42.0,2,4,1,2026-08-21T23:55:40+00:00
89187,2026-08-04,Sergeli,2,55000,https://hata.uz/en/listings/object/dom-2xona-yevro-remont-89187,60.0,8,9,1,2026-08-21T23:55:40+00:00
89214,2026-08-04,Olmazor,2,49900,https://hata.uz/en/listings/object/sergili-yangi-darxon-2-15-16-3-xonaga-tayyor-89214,62.0,15,16,1,2026-08-21T23:55:40+00:00
89225,2026-08-04,Olmazor,2,59000,https://hata.uz/en/listings/object/2-xonali-uy-sotiladi-remont-zor-89225,52.0,10,16,1,2026-08-21T23:55:40+00:00
89239,2026-08-04,Olmazor,3,73000,https://hata.uz/en/listings/object/3xonali-uy-srochna-3h-komnatnaya-kvartira-89239,65.0,4,4,1,2026-08-21T23:55:40+00:00
89307,2026-08-04,Olmazor,1,67500,https://hata.uz/en/listings/object/srochno-prodaetsya-elitnaya-kvartira-v-zhk-nrg-jomiy-89307,48.12,5,12,1,2026-08-21T23:55:40+00:00
89319,2026-08-04,Olmazor,3,83000,https://hata.uz/en/listings/object/tashkent-olmazor-korasaroy-novostroyka-9-etazh-bez-remont-89319,83.0,9,11,1,2026-08-21T23:55:40+00:00
89350,2026-08-04,Olmazor,2,80000,https://hata.uz/en/listings/object/assalomu-alekum-ozimi-kivartiram-89350,70.0,9,1,1,2026-08-21T23:55:40+00:00
89366,2026-08-04,Olmazor,3,77000,https://hata.uz/en/listings/object/olmazor-tumani-sagbon-kuchada-novastroyka-sotiladi-89366,83.0,8,10,1,2026-08-21T23:55:40+00:00
89381,2026-08-04,Olmazor,3,77000,https://hata.uz/en/listings/object/srochno-olmazor-tumani-sagbon-kuchada-novastroyka-sotiladi-89381,83.0,8,10,1,2026-08-21T23:55:40+00:00
89391,2026-08-05,Olmazor,3,75000,https://hata.uz/en/listings/object/prodazha-3-komnat-89391,56.0,9,9,1,2026-08-21T23:55:40+00:00
89400,2026-08-04,Olmazor,2,79000,https://hata.uz/en/listings/object/qoraqamish-tansiqboyev-navastroyka-katta-2-honali-uy-89400,72.0,2,8,1,2026-08-21T23:55:40+00:00
89415,2026-08-04,Olmazor,2,92000,https://hata.uz/en/listings/object/prodaetsya-2-komnatnaya-kvartira-s-evroremontom-v-zhk-koh-ota-89415,47.0,12,12,1,2026-08-21T23:55:40+00:00
89419,2026-08-04,Olmazor,2,89500,https://hata.uz/en/listings/object/prodaetsya-kvartira-v-zhk-nrg-jomiy-almazarskiy-rayon-89419,48.0,6,12,1,2026-08-21T23:55:40+00:00
89437,2026-08-04,Olmazor,2,89500,https://hata.uz/en/listings/object/srochno-prodaetsya-svoya-kvartira-almazarskiy-rayon-nrg-jomiy-89437,48.0,6,12,1,2026-08-21T23:55:40+00:00
89467,2026-08-04,Olmazor,3,97000,https://hata.uz/en/listings/object/sagbon-nurafshon-chorrahasida-uy-sotiladi-89467,96.0,3,5,1,2026-08-21T23:55:40+00:00
89499,2026-08-04,Chilonzor,3,84900,https://hata.uz/en/listings/object/rayon-zangiota-kucha-ibn-sino-savdo-markazi-honalar-soni-3-3-4-maydo-89499,3.0,3,4,1,2026-08-21T23:55:40+00:00
89528,2026-08-04,Olmazor,2,95000,https://hata.uz/en/listings/object/srochno-prodam-novostroyku-v-zhk-nurafshon-saroy-89528,81.0,9,10,1,2026-08-21T23:55:40+00:00
89540,2026-08-05,Shayhontohur,2,86000,https://hata.uz/en/listings/object/prodam-zhk-nrg-yu-tover-or-druzhba-narodov-89540,40.85,6,27,1,2026-08-21T23:55:40+00:00
89541,2026-08-05,Shayhontohur,3,85000,https://hata.uz/en/listings/object/samarkand-darvoza-3-7-7-82m2-srochno-w-21-shayhontohur-rayon-samarkand-89541,82.0,7,7,1,2026-08-21T23:55:40+00:00
89558,2026-08-05,Shayhontohur,3,100000,https://hata.uz/en/listings/object/shayhontohur-general-uzoqov-3-2-8-86kvadrat-navastroyka-100000-89558,86.0,2,8,1,2026-08-21T23:55:40+00:00
89586,2026-08-05,Shayhontohur,4,105000,https://hata.uz/en/listings/object/prodam-kvartiru-2-1-novostroyka-korobka-89586,100.0,2,4,1,2026-08-21T23:55:40+00:00
89606,2026-08-05,Shayhontohur,3,92000,https://hata.uz/en/listings/object/kukcha-oktepada-arthaus-novostroyka-89606,99.0,10,10,1,2026-08-21T23:55:40+00:00
89620,2026-08-04,Olmazor,5,145000,https://hata.uz/en/listings/object/moykurgon-dupleks-89620,180.0,1,3,1,2026-08-21T23:55:40+00:00
89623,2026-08-04,Olmazor,3,110000,https://hata.uz/en/listings/object/novostroyka-kvartira-sotiladi-89623,100.0,4,9,1,2026-08-21T23:55:40+00:00
89651,2026-08-04,Mirzo Ulugbek,3,135000,https://hata.uz/en/listings/object/darhan-zhk-wiston-novomoskovskaya-3-komnatnaya-74-m2-5-etazh-89651,74.0,5,10,1,2026-08-21T23:55:40+00:00
