source_index,district,rooms,size_m2,level,max_levels,is_new_building,floor_ratio,actual_usd,predicted_usd,absolute_error_usd
955,Shayhontohur,3,160.0,2,9,1,0.2222222222222222,1000000.0,234461.1896871574,765538.8103128426
965,Shayhontohur,6,210.0,3,7,1,0.42857142857142855,1200000.0,681974.6247952381,518025.37520476186
783,Shayhontohur,3,215.0,2,7,1,0.2857142857142857,225000.0,588959.3532809525,363959.35328095255
658,Yakkasaroy,4,220.0,11,12,1,0.9166666666666666,135000.0,482163.398952381,347163.398952381
51,Shayhontohur,7,266.0,1,7,1,0.14285714285714285,159900.0,479227.3374682542,319327.3374682542
1338,Mirobod,4,180.0,2,5,0,0.4,600000.0,289968.0380857144,310031.9619142856
34,Shayhontohur,7,266.0,1,8,1,0.125,159900.0,467973.95254127006,308073.95254127006
952,Shayhontohur,3,114.0,7,7,1,1.0,800000.0,495799.193336874,304200.806663126
2982,Chilonzor,8,550.0,1,2,0,0.5,76000.0,371248.8977333335,295248.8977333335
3163,Mirobod,4,123.0,5,10,1,0.5,480000.0,186826.73214689756,293173.2678531024
